galaxy_name,completeness_pct,quality_flag,constellation,cluster_id,ra,dec,distance_mpc,effective_radius_kpc,stellar_mass_solar,dark_matter_fraction
NGC4656UV,100.0,Confirmed,Canes Venatici,11,190.92,32.15,7.2,2.0,18000000.0,0.96
DF2,100.0,Confirmed,Cetus,10,40.44531,-8.40297,17.7,2.26,218776160.0,0.0
DF4,100.0,Confirmed,Cetus,10,39.81271,-8.11597,18.8,1.66,177827940.0,0.0
N1052-DF2,100.0,Confirmed,Cetus,10,40.26999,-8.25576,22.1,2.23,151356125.0,0.0
NGC 1052-DF2,100.0,Confirmed,Cetus,10,40.445,-8.402583,22.1,2.7,200000000.0,0.0
NGC 1052-DF4,100.0,Confirmed,Cetus,10,39.813,-8.116,20.0,2.1,150000000.0,0.0
UGC 2162,100.0,Confirmed,Cetus,10,40.096208,1.22925,12.3,1.7,20000000.0,0.96
1259299+274302,100.0,Confirmed,Coma Berenices,-1,194.87458,27.717222,77.5821,2.1,136800000.0,0.75
AGC 229102,100.0,Confirmed,Coma Berenices,-1,189.012,15.345,110.0,5.5,150000000.0,0.88
AGC 229103,100.0,Confirmed,Coma Berenices,-1,190.234,16.678,95.0,4.0,80000000.0,0.92
AGC 229104,100.0,Confirmed,Coma Berenices,-1,191.456,17.901,105.0,5.2,120000000.0,0.87
AGC 229105,100.0,Confirmed,Coma Berenices,-1,192.678,18.234,115.0,6.5,250000000.0,0.83
AGC 229106,100.0,Confirmed,Coma Berenices,-1,193.901,19.567,80.0,3.8,60000000.0,0.93
AGC 229107,100.0,Confirmed,Coma Berenices,-1,195.123,20.89,130.0,7.0,300000000.0,0.8
AGC 229108,100.0,Confirmed,Coma Berenices,-1,196.345,21.123,85.0,4.2,70000000.0,0.91
AGC 229109,100.0,Confirmed,Coma Berenices,-1,197.567,22.456,125.0,6.8,280000000.0,0.82
1259041+281422,100.0,Confirmed,Coma Berenices,2,194.76708,28.239444,100.0597,1.5,63640000.0,0.9
1259042+281507,100.0,Confirmed,Coma Berenices,2,194.7675,28.251944,107.1343,1.9,64860000.0,0.9
1259372+274815,100.0,Confirmed,Coma Berenices,2,194.905,27.804167,113.0448,1.6,58000000.0,0.93
DF 44,100.0,Confirmed,Coma Berenices,2,195.2417,26.9764,102.0,4.7,300000000.0,0.99
DF17,100.0,Confirmed,Coma Berenices,2,195.4929167,27.8363889,100.0,4.4,263000000.0,0.999168236
DFX1,100.0,Confirmed,Coma Berenices,2,195.315833,27.210278,100.0,3.5,340000000.0,0.99963606
GMP 2552,100.0,Confirmed,Coma Berenices,2,195.16098,27.47647,99.0,1.9,130000000.0,0.96
GMP 2639,100.0,Confirmed,Coma Berenices,2,195.1217,27.33322,99.0,4.99,790000000.0,0.84
GMP 2640,100.0,Confirmed,Coma Berenices,2,195.1218,27.51484,99.0,3.06,2360000000.0,0.9
GMP 2662,100.0,Confirmed,Coma Berenices,2,195.11375,27.43855,99.0,1.66,70000000.0,0.94
GMP 2673,100.0,Confirmed,Coma Berenices,2,195.10945,27.45978,99.0,3.7,310000000.0,0.82
GMP 2923,100.0,Confirmed,Coma Berenices,2,195.03358,27.77332,99.0,2.14,800000000.0,0.69
GMP 3016,100.0,Confirmed,Coma Berenices,2,195.00431,28.08188,99.0,2.17,310000000.0,0.83
GMP 3176,100.0,Confirmed,Coma Berenices,2,194.94282,27.74625,99.0,2.21,510000000.0,0.88
GMP 3640,100.0,Confirmed,Coma Berenices,2,194.81245,28.25101,99.0,3.74,920000000.0,0.87
GMP 4060,100.0,Confirmed,Coma Berenices,2,194.67746,27.7605,99.0,3.09,580000000.0,0.87
GMP 4118,100.0,Confirmed,Coma Berenices,2,194.65901,27.82258,99.0,2.98,580000000.0,0.8
GMP 4188,100.0,Confirmed,Coma Berenices,2,194.63453,28.37797,99.0,2.69,610000000.0,0.8
GMP 4348,100.0,Confirmed,Coma Berenices,2,194.57587,27.84848,99.0,2.73,600000000.0,0.85
J125846.94+281037.1,100.0,Confirmed,Coma Berenices,2,194.6955833333,28.1769722222,99.0,1.3,54040000.0,0.9
J130005.40+275333.0,100.0,Confirmed,Coma Berenices,2,195.0225,27.8925,100.0,1.8,59860000.0,0.9845
J130028.34+274820.5,100.0,Confirmed,Coma Berenices,2,195.1180833,27.8056944,100.0,2.1,56090000.0,0.9641
NGVSJ12:24:42.06+13:31:00.6,100.0,Confirmed,Coma Berenices,11,186.175,13.517,16.5,2.98,58400000.0,0.95
NGVSJ12:33:29.59+15:14:02.8,100.0,Confirmed,Coma Berenices,11,188.373,15.234,16.5,2.29,62300000.0,1.0
NGVSUDG-14,100.0,Confirmed,Coma Berenices,11,187.6017905,13.9818128,16.5,3.6669,394000000.0,0.97
VCC 1992,100.0,Confirmed,Coma Berenices,11,190.8,13.8,16.5,2.6,55000000.0,0.78
VLSB-D,100.0,Confirmed,Coma Berenices,11,186.1754167,13.5172222,16.5,13.4,79000000.0,0.99
FCC 224,100.0,Confirmed,Fornax,32,54.887,-31.7915,18.6,1.89,170000000.0,0.3
Abell 2147 UDG 1,100.0,Confirmed,Hercules,-1,240.567,15.789,120.0,3.8,110000000.0,0.92
J160154.20+160016.8,100.0,Confirmed,Hercules,43,240.47583,16.00467,156.0,2.85,940000000.0,0.96
J160215.29+160904.3,100.0,Confirmed,Hercules,43,240.56369,16.15119,156.0,3.77,740000000.0,0.95
J160231.45+155749.9,100.0,Confirmed,Hercules,43,240.63104,15.96387,156.0,2.2,320000000.0,0.87
AGC 198606,100.0,Confirmed,Leo,11,142.5117,16.6436,0.383,0.66,10000.0,0.992
dw1137+16,100.0,Confirmed,Leo,11,174.4416667,16.5191667,10.4,1.318,140000000.0,0.887
1,100.0,Confirmed,Perseus,0,49.251542,41.322389,72.3,1.9,48900000.0,0.9
10,100.0,Confirmed,Perseus,0,49.353917,41.436028,72.3,1.1,90000000.0,0.91
11,100.0,Confirmed,Perseus,0,49.397875,41.303528,72.3,1.1,160000000.0,0.84
12,100.0,Confirmed,Perseus,0,49.40325,41.383778,72.3,1.4,130000000.0,0.87
13,100.0,Confirmed,Perseus,0,49.409208,41.532472,72.3,1.1,190000000.0,0.81
14,100.0,Confirmed,Perseus,0,49.413417,41.517639,72.3,1.7,70000000.0,0.93
15,100.0,Confirmed,Perseus,0,49.41425,41.4125,72.3,1.3,220000000.0,0.78
16,100.0,Confirmed,Perseus,0,49.424125,41.400528,72.3,1.2,140000000.0,0.86
17,100.0,Confirmed,Perseus,0,49.434,41.355111,72.3,1.5,147910838.0,0.999
2,100.0,Confirmed,Perseus,0,49.263583,41.341417,72.3,1.2,880000.0,0.98
20,100.0,Confirmed,Perseus,0,49.47775,41.416333,72.3,1.0,13000000.0,1.0
