galaxy_name,completeness_pct,quality_flag,constellation,cluster_id,ra,dec,distance_mpc,effective_radius_kpc,stellar_mass_solar,dark_matter_fraction
NGC4656UV,100.0,Confirmed,Canes Venatici,5,190.92,32.15,7.2,2.0,18000000.0,0.96
N1052-DF2,100.0,Confirmed,Cetus,3,40.26999,-8.25576,22.1,2.23,151356125.0,0.0
UGC2162,100.0,Confirmed,Cetus,3,40.0963,1.2292,12.3,1.7,190000000.0,0.96
AGC 229102,100.0,Confirmed,Coma Berenices,-1,189.012,15.345,110.0,5.5,150000000.0,0.88
AGC 229103,100.0,Confirmed,Coma Berenices,-1,190.234,16.678,95.0,4.0,80000000.0,0.92
AGC 229104,100.0,Confirmed,Coma Berenices,-1,191.456,17.901,105.0,5.2,120000000.0,0.87
AGC 229105,100.0,Confirmed,Coma Berenices,-1,192.678,18.234,115.0,6.5,250000000.0,0.83
AGC 229106,100.0,Confirmed,Coma Berenices,-1,193.901,19.567,80.0,3.8,60000000.0,0.93
AGC 229107,100.0,Confirmed,Coma Berenices,-1,195.123,20.89,130.0,7.0,300000000.0,0.8
AGC 229108,100.0,Confirmed,Coma Berenices,-1,196.345,21.123,85.0,4.2,70000000.0,0.91
AGC 229109,100.0,Confirmed,Coma Berenices,-1,197.567,22.456,125.0,6.8,280000000.0,0.82
GMP 2639,100.0,Confirmed,Coma Berenices,4,195.1217,27.33322,99.0,4.99,790000000.0,0.84
GMP 3176,100.0,Confirmed,Coma Berenices,4,194.94282,27.74625,99.0,2.21,510000000.0,0.88
GMP 3640,100.0,Confirmed,Coma Berenices,4,194.81245,28.25101,99.0,3.74,920000000.0,0.87
GMP 4060,100.0,Confirmed,Coma Berenices,4,194.67746,27.7605,99.0,3.09,580000000.0,0.87
GMP 4118,100.0,Confirmed,Coma Berenices,4,194.65901,27.82258,99.0,2.98,580000000.0,0.8
GMP 4188,100.0,Confirmed,Coma Berenices,4,194.63453,28.37797,99.0,2.69,610000000.0,0.8
GMP 4348,100.0,Confirmed,Coma Berenices,4,194.57587,27.84848,99.0,2.73,600000000.0,0.85
J125846.94+281037.1,100.0,Confirmed,Coma Berenices,4,194.6955833,28.1769722,99.0,1.3,53300000.0,0.9
J125904.06+281422.4,100.0,Confirmed,Coma Berenices,4,194.7669167,28.2395556,100.0,1.4,63640000.0,0.9
J125904.20+281507.7,100.0,Confirmed,Coma Berenices,4,194.7675,28.2521389,100.0,1.6,64860000.0,0.9
J125929.89+274303.0,100.0,Confirmed,Coma Berenices,4,194.8745417,27.7175,100.0,2.1,112000000.0,0.65
J125937.23+274815.2,100.0,Confirmed,Coma Berenices,4,194.905125,27.8042222,100.0,1.8,58000000.0,0.9341
J130005.40+275333.0,100.0,Confirmed,Coma Berenices,4,195.0225,27.8925,100.0,1.8,59860000.0,0.9845
J130026.26+272735.2,100.0,Confirmed,Coma Berenices,4,195.1094167,27.4597778,100.0,3.7,157000000.0,0.65
J130028.34+274820.5,100.0,Confirmed,Coma Berenices,4,195.1180833,27.8056944,100.0,2.1,56090000.0,0.9641
J130038.63+272835.3,100.0,Confirmed,Coma Berenices,4,195.1609583,27.4764722,100.0,1.9,61500000.0,0.9627
NGVSJ12:24:42.06+13:31:00.6,100.0,Confirmed,Coma Berenices,15,186.175,13.517,16.5,2.98,58400000.0,0.95
NGVSJ12:33:29.59+15:14:02.8,100.0,Confirmed,Coma Berenices,15,188.373,15.234,16.5,2.29,62300000.0,1.0
VCC 1287,100.0,Confirmed,Coma Berenices,15,186.9,13.5,16.5,2.4,280000000.0,0.96
VCC 1992,100.0,Confirmed,Coma Berenices,15,190.8,13.8,16.5,2.6,55000000.0,0.78
FCC 224,100.0,Confirmed,Fornax,26,54.0,-35.0,20.0,1.89,173780000.0,0.0
Abell 2147 UDG 1,100.0,Confirmed,Hercules,-1,240.567,15.789,120.0,3.8,110000000.0,0.92
J160154.20+160016.8,100.0,Confirmed,Hercules,30,240.47583,16.00467,156.0,2.85,940000000.0,0.96
J160215.29+160904.3,100.0,Confirmed,Hercules,30,240.56369,16.15119,156.0,3.77,740000000.0,0.95
AGC 198606,100.0,Confirmed,Leo,5,142.5117,16.6436,0.383,0.66,10000.0,0.992
dw1137+16,100.0,Confirmed,Leo,5,174.4417,16.5192,10.4,2.66,140000000.0,0.887
1,100.0,Confirmed,Perseus,0,49.251542,41.322389,72.3,1.9,48900000.0,0.9
10,100.0,Confirmed,Perseus,0,49.353917,41.436028,72.3,1.1,90000000.0,0.91
11,100.0,Confirmed,Perseus,0,49.397875,41.303528,72.3,1.1,160000000.0,0.84
12,100.0,Confirmed,Perseus,0,49.40325,41.383778,72.3,1.4,130000000.0,0.87
13,100.0,Confirmed,Perseus,0,49.409208,41.532472,72.3,1.1,190000000.0,0.81
14,100.0,Confirmed,Perseus,0,49.413417,41.517639,72.3,1.7,70000000.0,0.93
15,100.0,Confirmed,Perseus,0,49.41425,41.4125,72.3,1.3,220000000.0,0.78
16,100.0,Confirmed,Perseus,0,49.424125,41.400528,72.3,1.2,140000000.0,0.86
17,100.0,Confirmed,Perseus,0,49.434,41.355111,72.3,1.5,147910838.0,0.999
2,100.0,Confirmed,Perseus,0,49.263583,41.341417,72.3,1.2,880000.0,0.98
20,100.0,Confirmed,Perseus,0,49.47775,41.416333,72.3,1.0,13000000.0,1.0
21,100.0,Confirmed,Perseus,0,49.503375,41.373056,72.3,1.0,325000000.0,0.65
3,100.0,Confirmed,Perseus,0,49.268417,41.510889,72.3,0.8,75857757.5,0.88
4,100.0,Confirmed,Perseus,0,49.279708,41.38125,72.3,1.7,80000000.0,0.92
42,100.0,Confirmed,Perseus,0,49.64,41.462639,72.3,1.0,58000000.0,0.6552
44,100.0,Confirmed,Perseus,0,49.644708,41.377917,72.3,2.6,245470891.0,0.99
5,100.0,Confirmed,Perseus,0,49.295917,41.567583,72.3,1.7,200000000.0,0.8
6,100.0,Confirmed,Perseus,0,49.305375,41.368778,72.3,0.9,60000000.0,0.95
7,100.0,Confirmed,Perseus,0,49.316542,41.336583,72.3,2.1,180000000.0,0.82
8,100.0,Confirmed,Perseus,0,49.332125,41.575694,72.3,2.1,110000000.0,0.89
9,100.0,Confirmed,Perseus,0,49.347917,41.527806,72.3,1.4,250000000.0,0.75
AGC 114905,100.0,Confirmed,Pisces,-1,21.3271,7.3603,78.7,5.1,199526231.5,0.0
DGSAT I,100.0,Confirmed,Pisces,-1,14.7,15.2,78.0,4.8,400000000.0,0.95
NGVSJ12:28:10.07+12:43:29.4,100.0,Confirmed,Virgo,15,187.042,12.725,16.5,2.93,21700000.0,1.0
VCC 1744,100.0,Confirmed,Virgo,15,189.0,12.8,16.5,3.0,90000000.0,0.88
VCC 1910,100.0,Confirmed,Virgo,15,190.2,12.6,16.5,3.8,150000000.0,0.92
VCC 2000,100.0,Confirmed,Virgo,15,187.123,11.456,16.5,2.8,50000000.0,0.85
VCC 2037,100.0,Confirmed,Virgo,15,191.4,12.4,16.5,3.3,110000000.0,0.87
